time,vibration_magnitude
2023-03-18 06:00:00+00:00,0.469594772
2023-03-18 06:10:00+00:00,0.465890545
2023-03-18 06:20:00+00:00,0.423907419
2023-03-18 06:30:00+00:00,0.419382284
2023-03-18 06:40:00+00:00,0.416293466
2023-03-18 06:50:00+00:00,0.4152427
2023-03-18 07:00:00+00:00,0.415772173
2023-03-18 07:10:00+00:00,0.413704303
2023-03-18 07:20:00+00:00,0.417466466
2023-03-18 07:30:00+00:00,0.419569422
2023-03-18 07:40:00+00:00,0.417458381
2023-03-18 07:50:00+00:00,0.416777519
2023-03-18 08:00:00+00:00,0.419155103
2023-03-18 08:10:00+00:00,0.410149668
2023-03-18 08:20:00+00:00,0.41025876
2023-03-18 08:30:00+00:00,0.404360606
2023-03-18 08:40:00+00:00,0.420865774
2023-03-18 08:50:00+00:00,0.419557505
2023-03-18 09:00:00+00:00,0.420053866
2023-03-18 09:10:00+00:00,0.412711764
2023-03-18 09:20:00+00:00,0.417374532
2023-03-18 09:30:00+00:00,0.416871083
2023-03-18 09:40:00+00:00,0.085599357
2023-03-18 09:50:00+00:00,0.08624384
2023-03-18 10:00:00+00:00,0.077935871
2023-03-18 10:10:00+00:00,0.081154174
2023-03-18 10:20:00+00:00,0.081154174
2023-03-18 10:30:00+00:00,0.081154174
2023-03-18 10:40:00+00:00,0.076019734
2023-03-18 10:50:00+00:00,0.076019734
2023-03-18 11:00:00+00:00,0.076019734
2023-03-18 11:10:00+00:00,0.076019734
2023-03-18 11:20:00+00:00,0.076019734
2023-03-18 11:30:00+00:00,0.076019734
2023-03-18 11:40:00+00:00,0.076019734
2023-03-18 12:30:00+00:00,0.087286883
2023-03-18 12:40:00+00:00,0.087286883
2023-03-18 12:50:00+00:00,0.087286883
2023-03-18 13:00:00+00:00,0.087286883
2023-03-18 13:10:00+00:00,0.087286883
2023-03-18 13:20:00+00:00,0.087286883
2023-03-18 13:30:00+00:00,0.087286883
2023-03-18 14:20:00+00:00,0.081630264
2023-03-18 14:30:00+00:00,0.082134037
2023-03-18 14:40:00+00:00,0.082134037
2023-03-18 14:50:00+00:00,0.082134037
2023-03-18 15:00:00+00:00,0.082134037
2023-03-18 15:10:00+00:00,0.082134037
2023-03-18 15:20:00+00:00,0.082134037
2023-03-18 15:30:00+00:00,0.082134037
2023-03-18 16:00:00+00:00,0.40229964
2023-03-18 16:10:00+00:00,0.409401392
2023-03-18 16:20:00+00:00,0.40618161
2023-03-18 16:30:00+00:00,0.40824778
2023-03-18 16:40:00+00:00,0.404989815
2023-03-18 16:50:00+00:00,0.404859544
2023-03-18 17:00:00+00:00,0.408621463
2023-03-18 17:10:00+00:00,0.404566744
2023-03-18 17:20:00+00:00,0.405796439
2023-03-18 17:30:00+00:00,0.402274782
2023-03-18 17:40:00+00:00,0.400671312
2023-03-18 17:50:00+00:00,0.399620132
2023-03-18 18:00:00+00:00,0.403656723
2023-03-18 18:10:00+00:00,0.400700636
2023-03-18 18:20:00+00:00,0.403815862
2023-03-18 18:30:00+00:00,0.401650968
2023-03-18 18:40:00+00:00,0.004123106
2023-03-18 18:50:00+00:00,0.004123106
2023-03-18 19:00:00+00:00,0.004123106
2023-03-18 19:10:00+00:00,0.004123106
2023-03-18 19:20:00+00:00,0.004123106
2023-03-18 19:30:00+00:00,0.004123106
2023-03-18 19:40:00+00:00,0.004123106
2023-03-18 19:50:00+00:00,0.004123106
2023-03-18 20:00:00+00:00,0.004123106
